Date,Prev Close,Open,High,Low,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
2018-09-06,373.07083,383.38153,384.2818,367.99954,374.4327,380.1891,2466531.0,63796685000000.0,939494.4,0.33142567
2018-09-07,373.86725,386.4497,387.66388,374.03958,375.91074,381.8674,1998591.5,79144820000000.0,842257.6,0.33775192
2018-09-10,379.69772,387.85605,389.95172,367.8611,379.86127,383.152,1751621.9,66032073000000.0,634554.06,0.3209833
2018-09-11,373.2457,383.07126,384.13,362.964,374.08084,374.34583,1998465.2,56710800000000.0,1088595.8,0.3845427
2018-09-12,364.79138,372.1972,379.05038,362.622,366.93497,366.77094,1986911.0,82583150000000.0,997692.5,0.36623424
2018-09-14,366.52417,374.99387,376.63306,356.05014,370.16022,367.55768,2003034.2,61238040000000.0,961927.2,0.35306555
2018-09-17,375.05124,378.36172,386.25287,368.1509,378.25424,378.57877,2007485.9,38524240000000.0,1004006.7,0.36199847
2018-09-18,379.51947,378.64206,392.49948,368.7805,380.00073,383.22266,1636399.6,53566543000000.0,798652.0,0.34589905
2018-09-19,378.17438,384.85934,387.3438,369.82138,377.9952,377.8565,1878571.9,53253420000000.0,826949.94,0.37243822
2018-09-21,375.8368,380.83725,380.94528,362.17456,378.94214,375.70657,1963701.8,48121990000000.0,876566.6,0.41438502
2018-09-24,360.77353,366.18573,375.95926,353.65918,365.21683,370.83167,2635525.5,59588955000000.0,1007144.1,0.3633427
2018-09-25,362.71875,365.6818,373.24515,347.28726,358.53723,362.82544,2497330.0,27354567000000.0,1224754.1,0.38838026
2018-09-26,349.93497,355.20947,349.99225,338.4548,354.39258,350.9609,2868293.5,77336050000000.0,1473378.6,0.40500438
2018-09-27,344.34027,345.79767,348.95425,334.90448,341.86154,339.8878,3311090.8,95154140000000.0,1545078.6,0.42847875
2018-09-28,336.15802,347.86932,346.6522,331.10123,342.89844,342.78403,2995023.2,92020310000000.0,1742025.2,0.4847762
2018-10-01,337.62378,340.69556,348.89047,329.97687,340.88654,343.88165,2778774.2,54621650000000.0,1579117.2,0.44496256
2018-10-03,333.04294,340.61902,344.29565,329.63977,334.48053,340.18552,2628115.8,80996550000000.0,1759900.5,0.43728703
2018-10-04,330.77145,335.36224,338.4906,322.01157,328.15738,331.46213,2687750.0,38777860000000.0,1773996.1,0.4736383
2018-10-05,326.40863,330.9255,334.5629,318.43542,328.92972,328.03903,2874266.5,103727760000000.0,1587225.0,0.45412055
2018-10-08,317.18906,317.20227,318.71667,294.71622,319.43988,318.06406,3872325.8,59227010000000.0,2093347.2,0.47264287
2018-10-09,304.39185,313.88132,317.55566,294.1919,312.13153,317.0194,3953657.8,84995420000000.0,2316170.5,0.48179996
2018-10-10,309.18268,311.5769,319.8726,300.9299,313.49332,310.64185,3697283.0,116736775000000.0,2069696.5,0.429921
2018-10-11,322.14288,328.95712,331.65802,320.24512,321.93414,322.49448,3131323.8,110809520000000.0,1524192.6,0.36054194
2018-10-12,325.0884,328.4242,328.97922,315.26447,323.05804,328.55356,2910062.8,60427715000000.0,1398500.8,0.39708757
2018-10-15,322.02322,325.50284,327.85834,315.39273,313.64252,323.1825,2468046.0,91165865000000.0,1292857.1,0.4049908
2018-10-16,321.09265,326.2912,327.6977,313.9825,314.58713,319.53137,2177528.8,70662715000000.0,863607.3,0.35389164
2018-10-17,331.17603,334.16086,341.6828,321.596,325.2914,325.65314,2549513.5,55666413000000.0,1061322.8,0.31255805
2018-10-19,331.3534,329.4988,336.71063,323.005,324.27817,330.03452,3386919.0,89546444000000.0,1053366.9,0.27969125
2018-10-22,316.52032,317.67828,325.31372,304.2103,317.00162,314.82962,2941347.8,78892910000000.0,1052112.8,0.30240166
2018-10-23,316.0955,318.78024,318.52686,304.3759,315.52698,316.88455,2832862.2,104123295000000.0,887303.2,0.2918221
2018-10-24,319.8035,317.93094,328.55896,308.07623,319.12494,312.85144,2743898.2,93264225000000.0,1037868.75,0.29601857
2018-10-25,319.15125,318.19113,330.43372,318.88135,314.01056,316.88535,3672172.0,99731760000000.0,1162486.8,0.24763414
2018-10-26,312.19,317.41617,320.54117,302.21146,317.07455,317.31595,3539015.2,64166136000000.0,1400508.6,0.30973044
2018-10-29,305.75555,311.85306,311.56287,303.17432,308.99625,309.76633,3160733.0,91111330000000.0,1485809.5,0.3607044
2018-10-30,310.9694,316.7507,326.8145,304.32584,317.19678,316.959,2818203.0,86608360000000.0,1492227.1,0.36371085
2018-10-31,327.43884,337.91776,344.72015,326.8342,328.73715,328.74298,2853375.0,46126790000000.0,1408306.6,0.36580116
2018-11-01,318.38364,320.60098,326.7437,310.4684,326.3228,329.74744,3480230.5,45302963000000.0,2000052.5,0.4303603
2018-11-02,315.88574,326.45963,330.16403,306.7132,320.478,320.8152,3888984.0,90242810000000.0,1884738.9,0.422051
2018-11-05,323.9796,329.0381,339.56015,314.56454,330.079,329.31317,3217782.0,88934720000000.0,1958653.5,0.41687068
2018-11-06,339.93057,342.80484,341.40634,326.26456,339.41345,338.60788,2812870.8,57501903000000.0,1660900.1,0.41592544
2018-11-07,331.75977,331.23184,341.34274,321.97598,331.52295,336.01675,2896575.8,82871020000000.0,1890177.6,0.44700933
2018-11-09,324.35254,335.62036,330.74448,323.52606,327.43588,331.9177,2919966.0,99275330000000.0,1273665.1,0.3692401
2018-11-12,330.0878,332.936,336.84686,314.36768,325.15207,327.1107,2161393.0,59980447000000.0,1125614.5,0.38374037
