Date,Prev Close,Open,High,Low,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
2018-09-06,380.5,384.0,387.7,380.1,382.3,384.76,2030226.0,78115376410000.0,670564.0,0.3303
2018-09-07,382.53289160944155,384.46707433583083,386.72142229593686,379.0623152503845,382.2207105321056,383.50838842239403,1742562.1494758097,66981404015579.07,674350.6656242292,0.3972073570913223
2018-09-10,382.22071069527397,383.1997951602585,386.5431592528451,379.1944982897005,381.92304041853185,383.4239485619192,1744201.4469760437,65772309144125.94,612763.0301686581,0.3735261061447647
2018-09-11,381.9230405701614,383.10127535196176,386.4344361120466,378.8673680905994,381.90249828375966,383.2725739909694,1747793.487555097,66105946467027.91,629627.0341078013,0.3820488417681814
2018-09-12,381.90249847689,383.32251159877,386.1304667070465,378.7391588792011,381.60926514761377,382.99463090759025,1743972.733951861,65820591248273.65,637190.6028273274,0.38400837885375166
2018-09-14,381.6092653422476,382.75193503654714,385.91175219324776,378.5391402265718,381.39335989620054,382.79459463324787,1739155.9804252922,65490483943609.86,626608.8613707531,0.38073647145572787
2018-09-17,381.3933600991579,382.6194982076311,385.71561237427085,378.3193513426284,381.2284448777382,382.6011891745414,1740743.6445903117,65439085712402.49,630212.2515713241,0.38211357164700305
2018-09-18,381.22844509590004,382.5098302972115,385.4791794069711,378.1624740665877,380.99832562006026,382.37821063461433,1738893.7267926862,65247024662009.42,630428.4191482392,0.3823160056231101
2018-09-19,380.9983258478826,382.2011305744193,385.2525861046545,377.9581591313387,380.79358276467826,382.1667040747759,1736399.389563944,65023285244378.67,628676.7301891239,0.3819486715319082
2018-09-21,380.7935830032953,382.0220495804946,385.03616605923247,377.75950646511893,380.59520609356616,381.95861251096375,1735647.98772297,64877203069560.6,629127.6619456677,0.3822168341108794
2018-09-24,380.59520634404345,381.8329058828162,384.8113085522001,377.5807945370857,380.38364210454284,381.74615876923036,1734002.5323106095,64692109332846.68,628653.625909862,0.3822538289170794
2018-09-25,380.38364236577627,381.59952463412753,384.58661176543654,377.38398908784166,380.17857705526495,381.53421824284015,1732371.9000291245,64504441881280.09,628226.7587987967,0.38227195690719107
2018-09-26,380.1785773276516,381.4004220141538,384.3651592346218,377.19128710825106,379.9737823447416,381.32328562504995,1731010.7209936823,64332632658994.55,628034.6776776843,0.38236201314160595
