,league,year,split,date,game,side,position,playername,teamname,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,goldat15,xpat15,csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15
226,LEC,2024,Winter,13/1/2024 16:10,1,Blue,team,,Team BDS,,Draven,Bel'Veth,LeBlanc,Jax,Poppy,1749,0,10,14,11,0.0,0.0,0.0,0.0,0.3431,0.8233,35171,1206.5523,,3303.8765,2168.5763,116,3.9794,54,1.8525,31,273,9.3654,51656,32438,1112.7959,,50075,-0.0108248,,793.0,212,,,34.4768,17959.0,18342.0,320.0,882.0,233.0,-3.0,5.0,5.0,4.0,27653.0,28686.0,509.0,1729.0,-596.0,-5.0,6.0,7.0,5.0
227,LEC,2024,Winter,13/1/2024 16:10,1,Red,team,,G2 Esports,,Caitlyn,Ashe,Rumble,Blitzcrank,Bard,1749,1,14,10,26,4.0,0.0,0.0,0.0,0.4803,0.8233,66376,2277.0497,,2128.2333,2434.1681,109,3.7393,48,1.6467,32,218,7.4786,56807,37589,1289.5026,,50620,0.0108248,,825.0,191,,,34.8542,17077.0,18109.0,323.0,-882.0,-233.0,3.0,4.0,6.0,5.0,25924.0,29282.0,514.0,-1729.0,596.0,5.0,5.0,8.0,6.0
228,LEC,2024,Winter,13/1/2024 17:06,1,Blue,top,Szygenda,Rogue,Aatrox,Jax,Nocturne,Kalista,Jayce,Renekton,2080,0,0,3,2,0.0,0.0,0.0,0.0,0.1154,0.5769,18324,528.5769,0.311999,831.2885,802.0962,11,0.3173,5,0.1442,1,28,0.8077,11395,6876,198.3462,0.206573,11225,,268.0,250.0,18,,,7.7308,3015.0,4498.0,72.0,-197.0,-461.0,-14.0,0.0,0.0,0.0,4958.0,7181.0,118.0,-136.0,-484.0,-15.0,0.0,0.0,1.0
229,LEC,2024,Winter,13/1/2024 17:06,1,Blue,jng,Markoon,Rogue,Lee Sin,Jax,Nocturne,Kalista,Jayce,Renekton,2080,0,0,3,4,0.0,0.0,0.0,0.0,0.1154,0.5769,4910,141.6346,0.0836015,860.1058,878.2788,16,0.4615,15,0.4327,6,52,1.5,9698,5179,149.3942,0.155592,8750,,200.0,24.0,176,,,5.7692,3219.0,3746.0,77.0,-252.0,242.0,15.0,0.0,0.0,0.0,4803.0,5980.0,119.0,-342.0,129.0,25.0,0.0,1.0,0.0
230,LEC,2024,Winter,13/1/2024 17:06,1,Blue,mid,Larssen,Rogue,Orianna,Jax,Nocturne,Kalista,Jayce,Renekton,2080,0,1,5,3,0.0,0.0,0.0,0.0,0.1154,0.5769,11737,338.5673,0.199843,409.7019,438.1154,11,0.3173,5,0.1442,2,21,0.6058,12490,7971,229.9327,0.239469,12050,,304.0,300.0,4,,,8.7692,3144.0,4539.0,82.0,-368.0,-340.0,-3.0,0.0,0.0,2.0,4884.0,6902.0,131.0,-262.0,15.0,3.0,0.0,1.0,2.0
231,LEC,2024,Winter,13/1/2024 17:06,1,Blue,bot,Comp,Rogue,Varus,Jax,Nocturne,Kalista,Jayce,Renekton,2080,0,3,2,0,0.0,0.0,0.0,0.0,0.1154,0.5769,20110,580.0962,0.342409,307.6154,177.7788,10,0.2885,10,0.2885,1,27,0.7788,14817,10298,297.0577,0.309376,13625,,348.0,344.0,4,,,10.0385,3394.0,3899.0,94.0,212.0,478.0,9.0,0.0,0.0,0.0,5611.0,7158.0,155.0,639.0,875.0,13.0,1.0,0.0,0.0
232,LEC,2024,Winter,13/1/2024 17:06,1,Blue,sup,Zoelys,Rogue,Rakan,Jax,Nocturne,Kalista,Jayce,Renekton,2080,0,0,3,4,0.0,0.0,0.0,0.0,0.1154,0.5769,3650,105.2885,0.0621478,374.7692,486.9808,86,2.4808,21,0.6058,8,134,3.8654,7481,2962,85.4423,0.0889897,7100,,30.0,30.0,0,,,0.8654,2087.0,2157.0,10.0,-278.0,-397.0,-2.0,0.0,0.0,0.0,3320.0,3124.0,16.0,-230.0,-143.0,2.0,0.0,1.0,0.0
233,LEC,2024,Winter,13/1/2024 17:06,1,Red,top,Irrelevant,SK Gaming,Gwen,LeBlanc,Rumble,Caitlyn,Renata Glasc,Rell,2080,1,6,1,6,2.0,1.0,0.0,0.0,0.4615,0.5769,21777,628.1827,0.318923,728.1635,800.4808,11,0.3173,13,0.375,7,46,1.3269,16692,12173,351.1442,0.263638,14175,,341.0,314.0,27,,,9.8365,3212.0,4959.0,86.0,197.0,461.0,14.0,0.0,0.0,0.0,5094.0,7665.0,133.0,136.0,484.0,15.0,1.0,0.0,0.0
234,LEC,2024,Winter,13/1/2024 17:06,1,Red,jng,ISMA,SK Gaming,Xin Zhao,LeBlanc,Rumble,Caitlyn,Renata Glasc,Rell,2080,1,3,0,12,0.0,0.0,0.0,0.0,0.4615,0.5769,16836,485.6538,0.246562,961.2692,1188.0,11,0.3173,18,0.5192,9,53,1.5288,13504,8985,259.1827,0.194594,11825,,235.0,26.0,209,,,6.7788,3471.0,3504.0,62.0,252.0,-242.0,-15.0,1.0,1.0,0.0,5145.0,5851.0,94.0,342.0,-129.0,-25.0,1.0,2.0,0.0
235,LEC,2024,Winter,13/1/2024 17:06,1,Red,mid,Nisqy,SK Gaming,Azir,LeBlanc,Rumble,Caitlyn,Renata Glasc,Rell,2080,1,1,2,6,0.0,0.0,0.0,0.0,0.4615,0.5769,9849,284.1058,0.144238,601.6731,391.0962,25,0.7212,10,0.2885,13,48,1.3846,14482,9963,287.3942,0.215775,12575,,323.0,286.0,37,,,9.3173,3512.0,4879.0,85.0,368.0,340.0,3.0,1.0,1.0,0.0,5146.0,6887.0,128.0,262.0,-15.0,-3.0,1.0,1.0,1.0
